"Name","Sale Inventory Growth (YoY)","Sale Inventory Growth (MoM)","Home Sales Growth (YoY)","Price Cut %","Population Growth","Cap Rate"
"Blackford, IN","117.1%","22.5%","-11.1%","50.0%","-1.0%","-"
"Decatur, GA","50.3%","11.7%","0.0%","19.0%","8.5%","-"
"Decatur, TN","34.0%","9.2%","-53.8%","15.3%","-1.5%","-"
"Decatur, IN","42.0%","-8.4%","-51.2%","34.5%","-0.5%","-"
"Jennings, IN","61.4%","24.3%","-20.0%","32.4%","-0.5%","-"
"Tippecanoe, IN","98.2%","22.4%","5.7%","20.5%","-2.2%","5.5%"
"Estill, KY","10.5%","2.4%","100.0%","11.1%","-1.6%","8.4%"
"Loudon, TN","57.0%","3.5%","-17.2%","37.0%","10.4%","4.2%"
"Bradley, TN","3.8%","4.3%","-10.3%","30.7%","4.5%","5.2%"
"Rhea, TN","35.0%","1.9%","-59.5%","25.8%","2.0%","-"
"Adair, KY","91.8%","-6.0%","44.4%","19.3%","-1.1%","-"
"Elbert, GA","103.2%","15.8%","8.3%","16.2%","2.6%","-"
"Taliaferro, GA","300.0%","0.0%","0.0%","0.0%","4.5%","-"
"Irwin, GA","53.8%","-14.8%","400.0%","14.8%","1.2%","-"
"Bleckley, GA","-4.3%","29.4%","233.3%","14.2%","-2.8%","-"
"Spalding, GA","30.0%","9.5%","-1.0%","27.0%","5.8%","5.3%"
"Coweta, GA","45.4%","4.1%","-11.2%","25.0%","6.8%","4.7%"
"Early, GA","7.6%","12.0%","100.0%","23.5%","3.2%","-"
"Chattahoochee, GA","12.5%","0.0%","-","0.0%","-14.7%","13.8%"
"Paulding, GA","30.0%","6.0%","-7.3%","35.3%","11.6%","6.4%"
"Barbour, WV","-36.5%","-18.7%","16.6%","36.3%","-7.6%","-"
"Barbour, AL","25.8%","18.4%","-6.6%","16.1%","-3.9%","-"
"Posey, IN","33.3%","-1.3%","-22.2%","18.7%","-1.6%","3.6%"
"Trigg, KY","63.2%","-2.4%","-27.7%","25.6%","-0.9%","7.1%"
"Lyon, KY","50.8%","9.5%","-40.0%","27.5%","7.8%","-"
"Saline, IL","-10.2%","6.0%","50.0%","20.6%","-3.4%","-"
"Weakley, TN","59.3%","16.6%","64.2%","30.5%","-1.9%","5.8%"
"Mississippi, MO","-20.4%","8.2%","-16.6%","10.5%","-12.1%","-"
"Walker, GA","57.1%","-1.7%","-","28.1%","0.1%","4.6%"
"Walker, AL","-19.4%","-11.7%","25.0%","18.6%","1.8%","9.7%"
"Marengo, AL","20.0%","-7.0%","0.0%","9.7%","-2.6%","-"
"Bronx, NY","12.1%","4.7%","-8.2%","11.7%","-5.2%","5.6%"
"Sussex, DE","33.4%","3.1%","-","21.6%","14.9%","-"
"Sussex, VA","-13.6%","2.7%","175.0%","15.3%","-6.0%","7.3%"
"Hunterdon, NJ","7.1%","33.6%","-28.2%","9.3%","4.3%","4.0%"
"Worcester, MD","57.3%","7.1%","-","22.7%","3.3%","-"
"Talbot, GA","52.9%","13.0%","-","34.7%","-9.7%","7.5%"
"Talbot, MD","49.4%","8.5%","6.2%","18.4%","1.3%","5.4%"
"Anne Arundel, MD","86.1%","17.7%","-2.9%","20.4%","3.2%","5.0%"
"Fauquier, VA","59.3%","14.6%","3.7%","21.3%","6.3%","2.8%"
"Dare, NC","33.8%","2.5%","-14.0%","22.6%","5.0%","4.0%"
"Northampton, PA","13.5%","16.1%","-5.9%","23.1%","4.6%","5.1%"
"Northampton, NC","52.7%","27.2%","200.0%","21.4%","-14.7%","9.8%"
"Northampton, VA","43.8%","0.4%","18.1%","12.9%","1.3%","-"
"Hyde, NC","63.2%","11.1%","0.0%","8.6%","-14.2%","-"
"Perquimans, NC","42.0%","10.9%","-17.3%","27.4%","-2.3%","-"
"Hertford, NC","21.4%","21.4%","0.0%","18.6%","-15.1%","-"
"Duplin, NC","8.6%","-10.4%","133.3%","26.0%","-16.9%","-"
"Hardy, WV","38.7%","14.6%","-11.1%","13.3%","2.8%","-"
"Waynesboro, VA","26.5%","-3.8%","15.6%","11.1%","2.9%","4.9%"
"Monongalia, WV","-18.2%","5.2%","-3.5%","15.5%","1.2%","5.8%"
"Columbiana, OH","2.0%","4.5%","-1.3%","23.4%","-2.4%","-"
"Doddridge, WV","140.0%","71.4%","50.0%","57.1%","-9.0%","9.4%"
"Ritchie, WV","142.8%","9.6%","100.0%","34.7%","-15.7%","-"
"Guernsey, OH","4.7%","10.0%","-3.1%","18.0%","-2.5%","-"
"Wood, WV","9.0%","22.3%","1,666.6%","28.0%","-1.3%","6.3%"
"Boyd, KY","7.8%","3.1%","38.7%","20.7%","-0.0%","8.7%"
"Prince Edward, VA","50.5%","0.7%","-25.0%","12.1%","-4.4%","5.6%"
"Durham, NC","82.5%","13.0%","-8.9%","29.7%","6.3%","4.7%"
"Botetourt, VA","84.7%","19.7%","42.8%","28.1%","1.9%","4.6%"
"Greenbrier, WV","15.7%","7.5%","300.0%","16.7%","-7.5%","-"
"Patrick, VA","31.7%","13.6%","16.6%","33.8%","-1.4%","-"
"Galax, VA","25.0%","11.1%","175.0%","27.5%","0.9%","-"
"Raleigh, WV","-1.1%","9.1%","-13.5%","17.0%","-2.5%","9.3%"
"Catawba, NC","38.2%","10.0%","-15.5%","27.7%","3.7%","6.8%"
"McDowell, NC","83.2%","28.2%","-23.8%","27.4%","-0.9%","-"
"McDowell, WV","15.1%","0.0%","-20.0%","16.6%","-4.1%","-"
"Mingo, WV","6.2%","17.2%","0.0%","19.0%","-7.1%","-"
"Florence, SC","23.5%","2.4%","19.8%","20.7%","-0.6%","9.6%"
"Clarendon, SC","28.6%","6.8%","7.1%","18.1%","-8.7%","-"
"Effingham, IL","-18.7%","-2.8%","11.5%","33.3%","0.9%","-"
"Effingham, GA","67.5%","14.2%","-11.3%","25.6%","21.8%","4.6%"
"Bryan, GA","118.7%","9.2%","-14.8%","37.4%","30.0%","5.4%"
"Glynn, GA","42.6%","1.3%","-13.1%","19.1%","1.1%","6.1%"
"Brantley, GA","69.2%","8.6%","-57.1%","17.3%","-2.1%","8.6%"
"McCormick, SC","82.6%","5.0%","-21.4%","28.0%","0.9%","-"
"Jeff Davis, GA","30.0%","-7.1%","-60.0%","22.2%","-1.0%","-"
"Volusia, FL","31.0%","2.1%","-10.0%","31.1%","7.8%","6.3%"
"Hardee, FL","-3.0%","3.2%","0.0%","12.5%","-6.3%","-"
"Bradford, FL","4.8%","-2.2%","76.9%","22.9%","3.3%","-"
"Alachua, FL","32.2%","6.1%","-12.9%","28.0%","5.9%","6.1%"
"Hillsborough, FL","35.9%","5.7%","-8.7%","36.6%","6.8%","6.2%"
"Pinellas, FL","31.9%","2.6%","-12.8%","37.6%","-1.4%","6.5%"
"Sarasota, FL","28.7%","-4.4%","-6.4%","29.9%","9.9%","6.5%"
"Rowan, NC","51.3%","9.3%","1.2%","31.8%","7.3%","4.7%"
"Rowan, KY","60.0%","17.6%","-68.7%","13.3%","0.1%","7.8%"
"Auglaize, OH","1.1%","0.0%","-41.3%","17.3%","0.9%","5.2%"
"Switzerland, IN","-18.3%","-4.7%","-88.8%","14.2%","-6.7%","-"
"Wells, IN","4.9%","-3.0%","-5.0%","25.0%","1.1%","5.2%"
"Dubois, IN","-35.0%","-3.9%","12.0%","20.6%","2.6%","4.8%"
"Hawkins, TN","57.3%","2.9%","-25.4%","29.0%","1.8%","6.3%"
"Wolfe, KY","32.0%","3.1%","100.0%","20.0%","-10.2%","-"
"Sevier, TN","30.0%","9.4%","-2.0%","38.4%","1.5%","5.2%"
"Bell, KY","12.0%","-7.2%","-92.8%","28.9%","-12.1%","-"
"Towns, GA","58.2%","17.2%","15.7%","21.5%","11.5%","5.8%"
"Graham, NC","23.6%","13.2%","-57.1%","22.2%","-6.0%","-"
"Lumpkin, GA","45.1%","10.0%","-10.0%","38.9%","6.1%","3.2%"
"McCreary, KY","4.5%","12.2%","14.2%","28.5%","-4.1%","-"
"Garrard, KY","58.9%","22.7%","61.1%","33.7%","0.1%","-"
"Casey, KY","-6.3%","-12.0%","150.0%","13.3%","0.9%","-"
"Overton, TN","63.6%","-2.4%","-31.2%","27.2%","3.6%","7.7%"
"Nelson, VA","8.5%","11.1%","-30.7%","9.4%","-0.2%","3.8%"
"Nelson, KY","1.5%","1.1%","-6.5%","24.0%","3.7%","5.0%"
"Metcalfe, KY","91.6%","24.3%","0.0%","26.6%","3.6%","3.5%"
"Simpson, KY","79.1%","7.0%","-26.6%","21.3%","9.5%","-"
"Oglethorpe, GA","24.5%","34.6%","-","34.0%","2.9%","3.9%"
"Dooly, GA","23.4%","-4.9%","20.0%","9.7%","-20.7%","-"
"Crisp, GA","44.2%","11.3%","-76.4%","22.8%","-12.4%","-"
"Gwinnett, GA","56.8%","6.8%","-3.1%","30.8%","6.0%","5.1%"
"Douglas, IL","60.0%","30.2%","-50.0%","16.6%","-0.1%","-"
"Douglas, GA","31.9%","3.9%","-14.6%","26.7%","2.6%","6.4%"
"Bartow, GA","34.4%","7.5%","-2.8%","29.8%","8.1%","5.3%"
"Haralson, GA","2.5%","-6.1%","72.4%","23.0%","6.0%","3.7%"
"Chattooga, GA","47.7%","-2.2%","33.3%","25.0%","0.6%","-"
"Tallapoosa, AL","26.8%","10.4%","-13.5%","23.3%","1.0%","-"
"Gadsden, FL","-6.2%","-2.4%","12.5%","25.0%","-5.1%","5.5%"
"Gulf, FL","27.1%","1.9%","47.8%","21.3%","-7.9%","-"
"Richland, SC","26.6%","0.2%","-","23.5%","2.5%","7.6%"
"Richland, IL","-44.4%","-4.7%","100.0%","0.0%","-1.2%","-"
"Williamson, IL","28.0%","-12.3%","9.2%","15.4%","-0.5%","-"
"Williamson, TN","33.2%","14.5%","-3.6%","23.0%","14.1%","2.7%"
"Cheatham, TN","48.8%","13.2%","1.9%","23.0%","3.9%","4.3%"
"Humphreys, TN","89.8%","6.3%","-19.0%","23.7%","4.1%","-"
"Prentiss, MS","14.2%","14.2%","22.2%","34.2%","-1.4%","9.1%"
"Massac, IL","-6.6%","-12.5%","18.1%","25.0%","-3.2%","12.9%"
"Tippah, MS","0.0%","-6.6%","-16.6%","16.3%","-1.6%","-"
"Hardeman, TN","34.7%","9.4%","0.0%","13.4%","-0.3%","-"
"Carlisle, KY","140.0%","-11.1%","100.0%","0.0%","-1.6%","9.7%"
"Dyer, TN","-4.4%","3.4%","16.0%","21.4%","-2.3%","4.3%"
"Cape Girardeau, MO","-4.0%","2.9%","-7.7%","21.1%","5.3%","5.0%"
"Escambia, AL","21.7%","5.5%","58.3%","20.1%","-1.6%","-"
"Escambia, FL","21.4%","5.3%","-5.0%","29.9%","3.6%","7.6%"
"Atlantic, NJ","30.2%","3.6%","-12.7%","18.2%","3.6%","5.3%"
"Wicomico, MD","67.2%","11.1%","-","24.1%","1.5%","8.3%"
"Lehigh, PA","5.3%","16.5%","16.7%","21.1%","2.6%","5.1%"
"Harford, MD","70.6%","3.1%","2.1%","19.4%","4.2%","4.3%"
"Northumberland, VA","42.3%","14.2%","-43.4%","14.0%","-1.1%","-"
"Calvert, MD","72.0%","6.4%","-5.3%","20.9%","2.9%","-"
"Prince George's, MD","78.5%","10.0%","-9.5%","21.7%","4.1%","5.0%"
"Caroline, MD","12.9%","0.5%","11.5%","22.8%","1.6%","-"
"Caroline, VA","23.1%","-19.8%","16.2%","15.8%","4.4%","7.9%"
"Falls Church, VA","1,300.0%","9.0%","100.0%","11.1%","3.7%","2.0%"
"Culpeper, VA","40.5%","5.6%","13.3%","21.4%","6.1%","4.1%"
"Winchester, VA","3.0%","22.8%","-3.3%","26.6%","0.6%","6.3%"
"Newport News, VA","22.0%","-0.1%","-16.6%","27.9%","2.5%","6.0%"
"Craven, NC","41.6%","4.8%","-8.5%","19.7%","-0.5%","6.5%"
"Jones, GA","60.4%","-2.9%","13.0%","13.0%","-0.0%","4.7%"
"Jones, MS","16.4%","2.0%","-","20.4%","-3.2%","-"
"Jones, NC","48.5%","36.8%","166.6%","30.7%","-4.6%","9.7%"
"Pitt, NC","35.6%","8.2%","2.6%","19.1%","-2.6%","7.1%"
"Goochland, VA","-1.2%","20.0%","-2.7%","10.4%","13.9%","3.3%"
"New Hanover, NC","52.5%","4.8%","2.5%","30.3%","2.8%","4.4%"
"Shenandoah, VA","41.5%","4.5%","-1.6%","17.2%","3.6%","5.5%"
"Brooke, WV","-15.9%","-23.6%","250.0%","20.3%","-3.1%","5.9%"
"Harrison, KY","125.0%","0.0%","-25.0%","27.1%","1.6%","-"
"Harrison, MS","3.2%","0.0%","1.4%","23.8%","1.9%","7.8%"
"Harrison, WV","-15.8%","-4.7%","5.0%","22.7%","-4.3%","7.6%"
"Harrison, IN","-2.4%","0.8%","37.1%","24.5%","0.1%","4.7%"
"Harrison, OH","39.1%","-17.9%","0.0%","21.8%","-5.8%","-"
"Halifax, NC","65.5%","8.6%","0.0%","20.0%","-6.7%","12.1%"
"Halifax, VA","-7.4%","-4.6%","-41.6%","11.4%","-2.7%","12.7%"
"Bland, VA","6.6%","3.2%","33.3%","20.0%","-3.6%","-"
"Gaston, NC","39.2%","6.7%","3.7%","31.4%","6.4%","5.4%"
"Lincoln, TN","69.1%","15.6%","8.5%","27.2%","5.6%","-"
"Lincoln, GA","79.4%","11.1%","-25.0%","27.2%","-0.3%","4.6%"
"Lincoln, KY","3.4%","-9.7%","71.4%","31.1%","-0.1%","6.8%"
"Lincoln, WV","-2.7%","0.0%","-50.0%","32.0%","-4.3%","-"
"Lincoln, NC","50.2%","14.4%","14.4%","32.2%","14.2%","3.4%"
"Rutherford, TN","41.3%","7.8%","1.0%","25.9%","12.9%","5.0%"
"Rutherford, NC","77.1%","17.0%","-16.3%","26.9%","-1.9%","5.0%"
"Buchanan, VA","22.5%","40.7%","-25.0%","14.2%","-10.3%","-"
"Henderson, TN","0.8%","-2.3%","-10.5%","25.8%","0.1%","-"
"Henderson, KY","88.4%","0.0%","20.8%","22.7%","-3.5%","-"
"Henderson, NC","95.1%","13.1%","22.6%","26.8%","2.1%","4.5%"
"Barnwell, SC","18.0%","20.0%","-25.0%","15.6%","-4.6%","-"
"Long, GA","137.6%","1.5%","-27.5%","16.7%","-3.5%","4.7%"
"Tattnall, GA","37.0%","-1.3%","33.3%","15.0%","-4.4%","-"
"Glascock, GA","500.0%","33.3%","0.0%","0.0%","-3.1%","-"
"Osceola, FL","25.4%","0.7%","-8.7%","25.4%","18.9%","6.0%"
"Flagler, FL","23.3%","0.9%","-8.1%","31.8%","17.2%","6.9%"
"Baker, GA","100.0%","0.0%","0.0%","0.0%","-11.2%","-"
"Baker, FL","31.6%","0.0%","-7.1%","37.3%","1.4%","3.8%"
"Citrus, FL","49.1%","3.8%","-11.9%","35.1%","12.6%","7.1%"
"Hendry, FL","2.0%","10.0%","6.1%","23.2%","1.6%","7.4%"
"Morrow, OH","89.6%","23.7%","-4.0%","25.9%","0.6%","4.3%"
"Fleming, KY","68.4%","-1.5%","0.0%","19.5%","5.1%","-"
"Woodford, IL","40.3%","8.1%","0.0%","13.6%","-1.2%","3.8%"
"Woodford, KY","40.2%","9.0%","130.0%","27.7%","3.5%","4.0%"
"Bullitt, KY","18.7%","7.4%","-1.2%","17.1%","4.6%","4.3%"
"Miami, OH","28.1%","1.8%","-0.9%","26.0%","4.3%","4.5%"
"Boone, WV","-8.7%","5.0%","-66.6%","0.0%","-6.5%","13.8%"
"Boone, KY","36.4%","9.0%","-2.5%","24.0%","6.8%","6.6%"
"Boone, IN","55.9%","30.7%","-8.1%","25.8%","13.6%","4.4%"
"Haywood, TN","28.5%","8.0%","-62.5%","21.9%","-0.6%","6.2%"
"Haywood, NC","104.1%","22.6%","-7.5%","32.9%","3.3%","-"
"Harlan, KY","105.7%","12.5%","-12.5%","35.5%","-3.4%","-"
"Grainger, TN","2.0%","-8.5%","-55.0%","31.3%","3.9%","4.9%"
"Claiborne, TN","23.6%","4.0%","-57.1%","28.0%","1.9%","-"
"Van Buren, TN","47.3%","5.0%","-40.0%","14.8%","10.3%","-"
"Telfair, GA","20.0%","0.0%","-33.3%","18.1%","-24.4%","-"
"Hart, KY","16.5%","-2.4%","-27.2%","18.3%","4.5%","-"
"Hart, GA","22.1%","22.1%","-23.8%","18.7%","3.3%","5.0%"
"Wilkinson, GA","-7.6%","5.8%","25.0%","17.3%","-3.1%","-"
"Banks, GA","46.4%","23.3%","21.0%","18.8%","1.3%","5.4%"
"Peach, GA","41.8%","4.3%","-34.4%","26.6%","4.8%","5.4%"
"Macon, TN","25.7%","3.7%","-15.0%","30.9%","9.8%","4.2%"
"Macon, IL","0.0%","20.8%","2.7%","36.8%","-3.9%","7.9%"
"Macon, NC","31.5%","15.7%","-18.0%","19.3%","9.0%","5.2%"
"Macon, AL","64.1%","-5.8%","-66.6%","10.0%","-0.5%","12.3%"
"Macon, GA","15.7%","-4.3%","-50.0%","0.0%","-11.3%","-"
"Upson, GA","37.8%","-1.7%","4.0%","28.3%","6.2%","-"
"Clayton, GA","17.5%","-1.6%","-19.4%","29.6%","2.9%","7.5%"
"Stewart, TN","52.2%","12.6%","-36.3%","29.2%","4.1%","4.4%"
"Stewart, GA","-28.5%","0.0%","-","50.0%","-17.6%","9.4%"
"Harris, GA","37.9%","12.3%","-","18.5%","5.7%","3.1%"
"Cleburne, AL","-25.3%","6.3%","12.5%","13.3%","2.1%","-"
"Elmore, AL","40.1%","0.0%","13.1%","19.2%","10.4%","5.6%"
"Chilton, AL","-2.8%","-9.5%","-18.7%","15.9%","3.5%","5.7%"
"Brooks, GA","35.2%","-16.3%","-62.5%","12.9%","4.2%","6.7%"
"Warrick, IN","52.8%","12.8%","1.6%","30.4%","6.3%","4.2%"
"Christian, KY","66.8%","13.0%","-21.5%","30.7%","0.5%","6.3%"
"Christian, IL","60.0%","20.4%","-8.0%","24.0%","1.3%","-"
"St. Clair, AL","-12.6%","-2.8%","-9.4%","23.9%","7.7%","5.6%"
"Henry, IN","14.7%","7.5%","-19.0%","25.3%","0.8%","5.0%"
"Henry, GA","25.3%","1.4%","-5.2%","30.2%","10.5%","6.9%"
"Henry, KY","62.5%","-1.8%","-37.5%","19.0%","-0.2%","5.1%"
"Henry, AL","24.6%","1.1%","-11.1%","16.5%","1.9%","7.3%"
"Henry, VA","18.4%","14.1%","3.8%","16.9%","-2.3%","8.5%"
"Henry, TN","23.9%","-0.3%","0.0%","18.4%","0.2%","-"
"Calloway, KY","9.5%","22.1%","41.6%","21.8%","-2.3%","8.0%"
"Tishomingo, MS","1.6%","13.9%","12.5%","16.6%","-3.7%","-"
"Livingston, KY","41.1%","23.0%","40.0%","25.8%","-3.4%","11.2%"
"Graves, KY","37.2%","15.7%","0.0%","23.5%","-1.8%","-"
"Hickman, TN","76.3%","4.8%","-15.3%","38.5%","2.2%","6.8%"
"Hickman, KY","0.0%","55.5%","0.0%","50.0%","-2.1%","-"
"Obion, TN","23.9%","12.7%","-5.2%","25.2%","0.1%","-"
"Benton, TN","1.5%","-11.1%","-10.5%","22.9%","-1.0%","-"
"Benton, IN","90.4%","0.0%","22.2%","20.0%","0.4%","6.3%"
"Benton, MS","36.3%","0.0%","0.0%","48.0%","-8.0%","7.2%"
"Conecuh, AL","16.9%","1.6%","500.0%","21.0%","-8.8%","-"
"Winston, MS","25.0%","-5.8%","0.0%","17.0%","-4.0%","-"
"Winston, AL","24.6%","7.3%","-40.0%","18.8%","-0.9%","-"
"Noxubee, MS","25.0%","-16.6%","-","0.0%","-6.3%","8.9%"
"Neshoba, MS","-7.9%","11.5%","-60.0%","8.6%","-1.5%","-"
"Yalobusha, MS","3.6%","1.8%","-20.0%","20.5%","0.1%","11.8%"
"Essex, VA","36.3%","1.1%","27.2%","14.8%","-3.9%","-"
"Essex, NJ","24.9%","10.9%","3.4%","10.9%","6.4%","3.5%"
"Bucks, PA","22.6%","15.6%","10.5%","14.7%","2.8%","4.0%"
"Baltimore, MD","17.6%","1.8%","-12.7%","24.3%","-6.1%","8.6%"
"Baltimore, MD","51.1%","5.3%","0.9%","22.1%","1.9%","5.6%"
"Snyder, PA","44.1%","-6.6%","70.0%","16.4%","-1.8%","5.7%"
"King George, VA","24.2%","19.6%","-19.4%","10.5%","6.0%","4.1%"
"Fairfax, VA","100.0%","0.0%","10.0%","0.0%","2.5%","3.1%"
"Fairfax, VA","103.2%","17.0%","-1.4%","21.2%","-0.7%","3.2%"
"Frederick, VA","35.0%","6.4%","-9.2%","21.4%","8.6%","5.6%"
"Frederick, MD","81.6%","10.2%","-1.6%","24.9%","14.7%","4.2%"
"Spotsylvania, VA","62.7%","11.3%","-10.1%","21.0%","11.4%","5.5%"
"Manassas Park, VA","-","0.0%","12.0%","0.0%","3.0%","6.1%"
"Louisa, VA","53.3%","7.4%","-5.7%","21.3%","10.2%","5.0%"
"Carteret, NC","34.8%","5.7%","0.0%","19.6%","0.1%","4.9%"
"Lancaster, PA","33.0%","15.1%","11.3%","14.5%","2.7%","3.4%"
"Lancaster, SC","75.1%","2.6%","9.7%","34.2%","13.4%","3.7%"
"Lancaster, VA","11.9%","-1.3%","38.0%","18.5%","0.6%","-"
"Portsmouth, VA","26.8%","6.6%","-16.9%","41.5%","2.2%","6.3%"
"Poquoson, VA","14.7%","2.6%","-5.2%","36.3%","4.2%","4.6%"
"King William, VA","2.7%","10.4%","12.0%","8.6%","10.5%","4.5%"
"Petersburg, VA","-6.8%","-11.6%","8.3%","21.4%","4.8%","7.4%"
"Dinwiddie, VA","3.6%","-8.2%","19.0%","12.1%","-0.7%","5.6%"
"Nash, NC","52.0%","15.5%","7.0%","18.0%","2.6%","6.6%"
"Vance, NC","34.5%","-3.9%","5.8%","25.2%","-4.7%","6.0%"
"Westmoreland, VA","42.4%","0.0%","-43.4%","15.8%","5.9%","6.4%"
"Westmoreland, PA","16.4%","6.9%","4.4%","23.0%","0.1%","6.1%"
"Staunton, VA","1.9%","30.0%","-7.5%","25.9%","5.3%","5.0%"
"Gilmer, GA","35.0%","10.1%","-25.3%","29.8%","6.8%","5.4%"
"Gilmer, WV","25.0%","11.1%","0.0%","26.6%","-10.1%","-"
"Wirt, WV","340.0%","46.6%","200.0%","26.6%","-11.4%","7.5%"
"Tuscarawas, OH","0.6%","1.2%","-15.9%","26.8%","-0.3%","4.3%"
"Meigs, TN","37.8%","14.6%","0.0%","31.2%","9.3%","5.3%"
"Meigs, OH","38.4%","-3.2%","0.0%","29.6%","-4.6%","-"
"Cabell, WV","19.5%","9.7%","-36.0%","18.2%","-1.2%","7.7%"
"Bladen, NC","18.6%","-5.5%","54.5%","21.6%","-12.3%","-"
"Buckingham, VA","48.8%","16.3%","20.0%","8.0%","-0.5%","-"
"Granville, NC","89.5%","12.0%","-19.0%","28.6%","4.3%","5.0%"
"Chatham, GA","68.7%","2.2%","-16.4%","29.8%","5.0%","6.0%"
"Chatham, NC","44.8%","20.4%","-8.4%","22.7%","11.6%","2.1%"
"Danville, VA","38.2%","-4.6%","21.0%","25.0%","1.7%","9.4%"
"Guilford, NC","36.7%","13.3%","-8.9%","22.4%","3.0%","6.5%"
"Yadkin, NC","86.2%","8.0%","68.7%","27.2%","-0.6%","6.0%"
"Summers, WV","-14.7%","-4.9%","100.0%","9.7%","-9.1%","-"
"Ashe, NC","21.9%","35.6%","-47.0%","21.7%","0.1%","-"
"Caldwell, KY","33.3%","-20.0%","20.0%","25.8%","-0.7%","-"
"Caldwell, NC","80.9%","18.4%","-25.9%","28.6%","-1.7%","6.8%"
"Greenville, SC","42.2%","7.7%","0.5%","27.9%","8.5%","6.1%"
"Wise, VA","75.7%","2.9%","-31.8%","19.0%","-8.4%","-"
"Columbus, NC","-24.6%","-5.0%","29.1%","29.9%","-10.3%","-"
"Bamberg, SC","-25.0%","28.5%","400.0%","0.0%","-9.8%","-"
"Newberry, SC","8.6%","1.2%","0.0%","27.1%","0.1%","-"
"Saluda, SC","44.6%","-13.9%","-","22.6%","-6.6%","5.8%"
"Candler, GA","115.3%","43.5%","60.0%","23.5%","1.3%","-"
"Appling, GA","-3.6%","18.1%","-42.8%","27.9%","-0.1%","-"
"Bacon, GA","-2.8%","6.2%","0.0%","20.0%","-0.8%","-"
"Indian River, FL","20.3%","-6.2%","-8.0%","23.5%","7.8%","6.7%"
"Lake, TN","80.0%","12.5%","-75.0%","46.1%","-11.0%","-"
"Lake, FL","43.5%","1.3%","1.5%","32.9%","19.0%","5.5%"
"Duval, FL","34.2%","1.2%","-10.8%","39.2%","8.4%","6.2%"
"Camden, NC","-3.8%","4.1%","73.3%","19.2%","2.8%","4.1%"
"Camden, NJ","36.4%","13.7%","-10.4%","15.1%","3.9%","3.8%"
"Camden, GA","45.7%","8.1%","-27.3%","20.7%","6.3%","5.4%"
"Nassau, NY","6.3%","15.4%","1.6%","10.4%","1.7%","5.0%"
"Nassau, FL","30.0%","-0.0%","-21.3%","27.4%","18.2%","3.6%"
"Ross, OH","44.4%","0.5%","-2.0%","27.6%","-0.5%","8.3%"
"Elliott, KY","23.0%","33.3%","50.0%","40.0%","-2.4%","-"
"Bracken, KY","109.0%","12.2%","-33.3%","13.3%","1.4%","6.8%"
"Bourbon, KY","34.4%","3.8%","-34.7%","15.3%","0.1%","4.2%"
"Preble, OH","6.6%","17.4%","29.0%","28.3%","-0.9%","-"
"Meade, KY","59.2%","7.8%","31.8%","36.0%","6.0%","5.4%"
"Transylvania, NC","51.5%","17.6%","-18.1%","24.3%","-0.8%","4.5%"
"Rabun, GA","24.6%","9.5%","-17.8%","18.1%","3.9%","-"
"Swain, NC","74.4%","12.6%","-16.6%","14.2%","-1.3%","-"
"Whitley, KY","21.4%","3.8%","42.1%","34.0%","1.8%","-"
"Fentress, TN","9.6%","2.5%","-41.6%","25.2%","5.3%","-"
"White, IN","114.6%","28.4%","-53.8%","27.1%","2.0%","-"
"White, IL","28.3%","22.8%","100.0%","25.0%","-2.2%","-"
"White, GA","45.8%","2.5%","4.7%","26.9%","-1.6%","4.6%"
"White, TN","47.8%","2.6%","3.1%","36.9%","4.4%","7.1%"
"Dade, GA","106.1%","9.8%","-","28.9%","-0.1%","4.7%"
"Wilson, NC","37.7%","-0.5%","0.0%","26.9%","-3.0%","6.8%"
"Wilson, TN","30.0%","12.1%","7.7%","24.6%","16.3%","4.0%"
"Sumner, TN","40.2%","8.8%","-4.6%","26.2%","11.1%","4.3%"
"Moore, NC","41.1%","9.5%","-17.5%","22.7%","8.3%","5.6%"
"Moore, TN","16.1%","-5.2%","266.6%","32.6%","4.5%","4.1%"
"Dodge, GA","-18.8%","7.6%","120.0%","22.8%","-4.8%","-"
"Turner, GA","84.0%","17.9%","0.0%","14.8%","11.9%","-"
"Worth, GA","54.5%","17.2%","-33.3%","9.7%","-0.3%","7.9%"
"Crawford, IL","2.8%","35.0%","100.0%","20.3%","-2.6%","-"
"Crawford, IN","35.1%","2.0%","-57.1%","11.1%","-0.8%","-"
"Crawford, GA","0.0%","-14.2%","75.0%","21.0%","-1.3%","5.0%"
"Butts, GA","44.3%","3.0%","-22.5%","28.5%","9.7%","3.8%"
"Rockdale, GA","30.3%","3.1%","-18.6%","23.9%","5.9%","6.3%"
"Cobb, GA","50.2%","7.9%","-1.9%","31.1%","2.6%","4.9%"
"Meriwether, GA","63.8%","-3.1%","-22.7%","11.3%","-1.6%","5.3%"
"Troup, GA","48.3%","2.8%","10.1%","24.3%","1.0%","6.1%"
"Russell, VA","20.9%","20.9%","466.6%","35.2%","-6.4%","-"
"Russell, KY","11.9%","-1.8%","-57.1%","30.0%","2.0%","-"
"Russell, AL","14.4%","9.1%","-","15.9%","1.1%","6.9%"
"Quitman, GA","31.5%","4.1%","100.0%","13.7%","-8.0%","-"
"Heard, GA","86.6%","-15.1%","57.1%","10.0%","-0.5%","3.9%"
