"Name","Days on Market","Days on Market Growth (YoY)","Home Value","Home Value Growth (YoY)","Inventory Surplus/Deficit","Population"
"Dimmit, TX","145","52.9%","$117,905","-8.2%","42.2%","8,507"
"Menard, TX","145","-10.7%","$190,293","2.0%","90.9%","1,964"
"Lawrence, MS","78","90.2%","$112,145","-4.9%","-25.5%","11,883"
"St. Helena, LA","57","-21.1%","$170,692","0.3%","35.2%","10,849"
"Ascension, LA","62","8.8%","$303,279","2.0%","13.9%","131,632"
"East Baton Rouge, LA","64","5.7%","$231,282","0.4%","15.4%","448,467"
"San Augustine, TX","65","-9.4%","$175,277","-4.9%","53.3%","7,889"
"Nacogdoches, TX","64","19.0%","$225,568","1.5%","40.0%","65,375"
"Calcasieu, LA","79","0.0%","$195,250","-2.1%","34.4%","203,761"
"Tyler, TX","83","16.4%","$161,855","-0.3%","49.8%","20,084"
"Galveston, TX","59","13.4%","$328,664","-1.2%","73.5%","361,744"
"Falls, TX","40","-23.8%","$148,873","-4.1%","136.9%","17,063"
"Brazos, TX","57","18.7%","$313,857","0.4%","27.7%","244,703"
"Washington, LA","68","18.7%","$125,769","1.0%","25.7%","45,238"
"Washington, TX","74","53.9%","$365,076","-0.8%","96.1%","36,156"
"Colorado, TX","69","-8.6%","$289,994","5.2%","26.6%","20,736"
"Victoria, TX","57","-5.7%","$216,208","0.7%","37.1%","91,664"
"Refugio, TX","92","16.4%","$148,151","0.1%","60.0%","6,693"
"San Patricio, TX","77","7.3%","$205,227","-3.6%","40.3%","70,660"
"Hays, TX","50","13.6%","$396,610","-5.0%","68.1%","280,486"
"Wilson, TX","73","1.3%","$409,161","1.4%","79.8%","51,501"
"Bexar, TX","55","14.5%","$264,971","-2.9%","62.3%","2,087,679"
"Bandera, TX","79","-5.6%","$355,482","0.1%","68.0%","21,589"
"Zavala, TX","68","-41.5%","$91,691","-1.0%","88.8%","9,532"
"Walthall, MS","117","-12.3%","$150,004","-1.1%","-28.5%","13,864"
"St. Tammany, LA","60","22.4%","$286,845","0.7%","32.9%","275,583"
"St. John the Baptist, LA","68","-0.7%","$204,840","2.0%","19.8%","41,342"
"Assumption, LA","53","-39.0%","$169,918","1.2%","16.5%","20,720"
"Grant, LA","59","32.5%","$159,836","0.1%","1.5%","22,123"
"Iberville, LA","61","-27.3%","$174,033","1.5%","30.5%","29,950"
"Jefferson Davis, LA","62","12.2%","$140,534","1.9%","25.9%","32,083"
"Beauregard, LA","80","22.6%","$165,906","6.4%","15.8%","36,646"
"Orange, TX","75","12.7%","$179,812","2.4%","26.6%","85,722"
"Hardin, TX","60","-4.4%","$219,923","0.4%","22.2%","57,126"
"Coryell, TX","58","19.5%","$223,556","-0.9%","78.8%","84,878"
"McCulloch, TX","41","-43.3%","$137,638","-4.1%","38.0%","7,565"
"Williamson, TX","44","17.3%","$430,962","-3.3%","64.6%","697,191"
"Burnet, TX","71","18.8%","$440,615","-2.5%","84.7%","51,064"
"Blanco, TX","72","-8.8%","$611,171","-0.9%","92.0%","12,008"
"Concho, TX","81","-22.1%","$164,737","8.5%","61.6%","3,301"
"Webb, TX","59","0.0%","$208,550","1.2%","23.0%","269,148"
"Maverick, TX","100","0.5%","$229,656","5.8%","24.1%","57,770"
"Lincoln, MS","85","-2.0%","$176,844","2.4%","-9.1%","34,830"
"Rapides, LA","75","33.9%","$163,451","3.7%","6.5%","126,260"
"Angelina, TX","61","9.4%","$200,188","0.5%","64.6%","87,319"
"Iberia, LA","70","11.2%","$132,001","-6.9%","-4.9%","67,659"
"Allen, LA","107","6.4%","$126,112","4.4%","19.2%","22,552"
"Jasper, TX","92","20.2%","$187,813","0.5%","46.3%","32,807"
"Polk, TX","66","3.1%","$182,732","1.0%","37.9%","51,780"
"Madison, TX","73","-24.9%","$283,600","4.6%","30.9%","13,574"
"Walker, TX","59","-0.8%","$270,012","0.1%","57.1%","81,268"
"Waller, TX","43","-10.8%","$382,813","0.7%","114.2%","59,455"
"Robertson, TX","82","16.3%","$261,498","2.5%","75.0%","16,973"
"Calhoun, TX","90","42.8%","$199,808","-0.4%","53.7%","19,921"
"Uvalde, TX","85","31.2%","$196,707","2.0%","55.3%","24,810"
"Pierce, GA","56","-17.0%","$179,340","2.7%","76.3%","19,996"
"Hernando, FL","63","29.9%","$315,690","-2.4%","72.7%","212,807"
"Atkinson, GA","45","-4.2%","$104,245","-3.9%","0.0%","8,261"
"Lanier, GA","52","48.5%","$206,211","4.2%","2.3%","10,094"
"Dougherty, GA","95","9.2%","$121,536","-1.4%","12.3%","82,645"
"Franklin, FL","86","14.6%","$425,910","-3.3%","51.3%","12,418"
"Decatur, GA","81","11.7%","$152,972","-4.9%","52.9%","29,118"
"Bay, FL","79","6.7%","$349,487","-4.3%","71.9%","190,769"
"St. Bernard, LA","75","16.4%","$211,599","-1.2%","32.5%","44,172"
"Stone, MS","57","-6.5%","$194,639","6.5%","1.1%","18,515"
"Pasco, FL","57","12.8%","$340,526","-4.3%","74.3%","632,996"
"Union, FL","35","-59.7%","$264,225","1.7%","26.7%","15,551"
"Ben Hill, GA","60","17.6%","$115,966","0.5%","22.4%","17,138"
"Randolph, GA","66","-52.2%","$86,751","-4.3%","41.1%","6,270"
"Suwannee, FL","81","2.2%","$265,405","2.7%","21.0%","44,484"
"Lowndes, GA","45","-1.0%","$220,218","3.5%","-10.8%","120,712"
"Leon, FL","43","21.1%","$292,765","-1.0%","-7.7%","296,913"
"Wakulla, FL","48","1.0%","$290,813","-0.3%","-1.2%","34,608"
"Seminole, FL","54","30.1%","$411,897","-1.9%","57.5%","484,271"
"Seminole, GA","74","28.1%","$125,193","-6.4%","3.5%","9,117"
"Jefferson Davis, MS","95","54.9%","$91,807","4.7%","54.8%","11,183"
"Baldwin, AL","68","3.8%","$385,568","0.2%","48.4%","253,507"
"Harrison, MS","64","9.4%","$222,457","0.6%","24.0%","210,612"
"McIntosh, GA","53","-28.3%","$257,758","1.4%","42.8%","11,187"
"Irwin, GA","77","17.5%","$134,824","-1.1%","70.2%","9,385"
"Early, GA","64","-8.6%","$114,285","0.5%","-15.1%","10,683"
"Houston, AL","54","19.5%","$195,260","6.1%","1.9%","108,462"
"Glynn, GA","65","34.0%","$355,715","1.0%","23.7%","86,172"
"Brantley, GA","53","10.9%","$136,460","-2.9%","96.6%","18,171"
"Volusia, FL","73","18.8%","$330,338","-3.5%","72.1%","590,357"
"Bradford, FL","73","-0.6%","$233,479","1.1%","38.7%","27,888"
"Alachua, FL","58","9.5%","$309,628","-0.9%","55.9%","285,994"
"Hillsborough, FL","57","22.5%","$386,294","-3.1%","63.8%","1,535,564"
"Pinellas, FL","66","13.7%","$383,597","-5.9%","86.5%","961,596"
"Henry, AL","71","-10.6%","$181,238","3.8%","7.5%","17,450"
"Gadsden, FL","69","6.5%","$199,782","1.8%","-11.7%","43,642"
"Gulf, FL","74","12.5%","$427,093","-2.7%","93.3%","14,772"
"Perry, MS","60","-22.5%","$141,970","-2.5%","12.8%","11,459"
"Jones, MS","63","16.6%","$152,691","1.9%","11.5%","66,250"
"Escambia, AL","65","1.1%","$136,355","-5.1%","9.8%","36,695"
"Escambia, FL","67","14.5%","$277,523","-2.0%","61.5%","326,928"
"Washington, AL","76","-20.0%","$158,754","5.8%","62.4%","15,270"
"Washington, FL","74","18.4%","$216,689","2.4%","37.2%","25,259"
"Osceola, FL","78","13.8%","$375,484","-3.0%","93.6%","437,784"
"Flagler, FL","73","12.3%","$357,953","-4.1%","57.1%","131,439"
"Baker, GA","202","-26.1%","$125,806","-2.9%","-38.4%","2,830"
"Baker, FL","58","8.9%","$311,771","1.0%","64.7%","28,186"
"Citrus, FL","71","8.4%","$281,244","-2.1%","90.2%","166,696"
"Columbia, FL","67","1.5%","$266,290","1.0%","49.6%","73,063"
"Coffee, GA","71","27.9%","$150,688","2.3%","-8.1%","43,161"
"Coffee, AL","46","22.6%","$179,072","3.0%","8.8%","54,231"
"Madison, FL","79","61.8%","$206,749","2.7%","5.9%","18,113"
"Brooks, GA","51","-32.2%","$166,552","1.5%","2.2%","16,285"
"Taylor, FL","68","-2.1%","$186,327","-2.5%","-3.7%","21,422"
"Conecuh, AL","95","29.0%","$120,603","1.8%","41.7%","11,411"
"Jackson, FL","84","38.0%","$172,687","0.0%","33.1%","47,652"
"Jackson, MS","57","13.4%","$210,936","3.1%","15.3%","146,389"
"Jefferson, FL","53","-20.5%","$294,179","0.6%","-16.0%","14,713"
"Bacon, GA","88","147.8%","$133,730","4.6%","6.2%","11,129"
"Lake, FL","64","31.9%","$368,247","-1.1%","72.3%","424,462"
"Duval, FL","58","24.7%","$302,045","-2.7%","67.2%","1,030,822"
"Camden, GA","66","30.0%","$300,734","2.1%","83.0%","56,036"
"Nassau, FL","65","11.1%","$490,271","-0.0%","51.6%","101,501"
"Turner, GA","72","-8.8%","$131,548","0.2%","57.2%","8,915"
"Worth, GA","58","-9.3%","$155,684","-1.2%","21.4%","20,575"
"Covington, MS","66","-2.2%","$151,018","4.2%","19.5%","18,226"
"Covington, AL","74","11.3%","$150,351","4.4%","15.2%","37,647"
"Levy, FL","68","-13.6%","$290,963","0.2%","52.9%","44,276"
"Clinch, GA","39","-58.3%","$109,051","-7.1%","-44.8%","6,722"
"Liberty, FL","74","-59.4%","$191,076","-1.0%","28.7%","7,650"
"Holmes, FL","78","32.4%","$194,004","0.1%","22.5%","19,626"
"Walton, FL","80","11.1%","$673,128","-5.2%","58.1%","86,354"
"Monroe, AL","55","-27.8%","$136,719","4.2%","-3.7%","19,580"
"Forrest, MS","51","11.4%","$182,450","2.9%","14.0%","78,208"
"Mobile, AL","58","23.4%","$195,052","1.2%","30.0%","411,640"
"Pearl River, MS","76","48.0%","$216,065","1.4%","20.6%","56,781"
"Brevard, FL","65","26.2%","$350,317","-3.2%","70.0%","643,979"
"Orange, FL","60","25.0%","$412,099","-1.6%","63.4%","1,471,416"
"Putnam, FL","81","52.8%","$213,686","-1.8%","58.8%","75,955"
"Charlton, GA","98","86.6%","$199,433","2.4%","118.1%","12,711"
"Ware, GA","73","30.3%","$129,934","-1.1%","47.6%","35,958"
"Cook, GA","56","-7.8%","$143,138","-2.6%","18.4%","17,363"
"Colquitt, GA","44","-26.0%","$142,898","2.5%","-26.5%","45,907"
"Calhoun, FL","68","-35.2%","$164,330","-2.4%","13.7%","13,593"
"Calhoun, GA","48","-26.7%","$83,266","-7.4%","41.1%","5,528"
"Miller, GA","39","-58.7%","$147,385","9.0%","-35.6%","5,873"
"Geneva, AL","74","16.5%","$157,832","-1.5%","34.5%","26,726"
"Hamilton, FL","72","20.0%","$198,509","2.6%","58.5%","13,445"
"Thomas, GA","59","-0.8%","$210,671","1.6%","18.7%","45,696"
"Okaloosa, FL","74","20.3%","$358,286","-3.1%","55.7%","218,464"
"Greene, MS","57","-14.9%","$146,255","4.9%","-24.7%","13,595"
"George, MS","56","-0.8%","$209,564","6.9%","18.0%","24,870"
"Wayne, MS","70","-32.5%","$132,437","3.2%","15.7%","19,699"
"Wayne, GA","55","12.2%","$200,628","4.1%","7.0%","30,519"
"Polk, FL","73","22.6%","$307,229","-3.0%","87.0%","818,330"
"St. Johns, FL","64","16.3%","$510,465","-3.0%","54.4%","320,110"
"Clay, GA","69","-57.9%","$151,965","-4.4%","58.4%","2,853"
"Clay, FL","58","20.8%","$342,886","-1.7%","66.6%","232,439"
"Marion, FL","72","18.5%","$277,524","-1.9%","91.7%","409,959"
"Sumter, FL","63","40.0%","$397,108","-1.1%","86.6%","151,565"
"Berrien, GA","44","-10.2%","$181,708","5.5%","14.2%","18,257"
"Tift, GA","52","7.2%","$191,834","-0.9%","30.1%","41,322"
"Lee, GA","71","93.2%","$257,352","2.8%","1.1%","33,337"
"Mitchell, GA","78","-3.6%","$142,762","1.8%","-1.5%","21,441"
"Dale, AL","51","7.9%","$154,405","0.5%","3.3%","49,516"
"Echols, GA","177","95.5%","$161,587","-0.7%","-100.0%","3,705"
"Gilchrist, FL","66","-32.9%","$290,776","1.6%","54.0%","18,494"
"Lafayette, FL","61","-43.6%","$255,474","1.4%","-14.6%","8,035"
"Dixie, FL","82","-24.4%","$206,129","0.2%","21.9%","16,952"
"Grady, GA","68","-10.6%","$169,628","-1.4%","24.3%","26,056"
"Lamar, MS","65","66.6%","$264,580","2.5%","39.6%","66,217"
"Santa Rosa, FL","60","25.6%","$352,056","-1.4%","54.4%","203,162"
"Hancock, MS","72","24.3%","$232,479","-0.3%","49.6%","46,057"
